text_max_length,default_value_str,unit,classification_choice_descriptor_type,default_value_bool,selection_options,selection_multiple,selection_multiple_n_min,selection_multiple_n_max,selection_default_options,numeric_min,numeric_max,numeric_distribution,numeric_distribution_params,default_value_num,created_at,uuid,tags,name,name_de,name_en,description,kb_module_name
255,unknown,centimeter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},0.0,2026-09-04 06:36:56.517313+00:00,e41a6bb5-30f8-47ea-94e9-f0cc4c3aef03,,length_cm_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,milimeter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},0.0,2026-09-04 06:36:56.517364+00:00,dd21d5af-f143-4131-9833-a3b2a1295901,,length_mm_descriptor,unknown,unknown,unknown,star_upper_gi
4000,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.517397+00:00,7e227284-0662-4973-a3ba-56d7f8df2963,,additional_text_info,unknown,unknown,unknown,star_upper_gi
255,unknown,star_upper_gi_count,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,1000.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.517427+00:00,4486889f-40fd-47c3-817b-fd849a012204,,star_upper_gi_count_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,minutes,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,1440.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.517453+00:00,0d06818c-aa64-49e7-835b-f08f86cacfac,,star_upper_gi_minutes_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,star_upper_gi_score,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,9.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.517482+00:00,380dc5fa-1d75-42d8-9eee-579ea7c68286,,star_upper_gi_cleanliness_total_0_9_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,star_upper_gi_score,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,10.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.517507+00:00,bc78f252-1694-4643-9f17-5f57bb78753c,,star_upper_gi_cleanliness_total_0_10_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,milimeter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,200.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.694615+00:00,bdb72116-f95f-4771-94e3-fb76cb7056b4,,lesion_size_mm_value,unknown,unknown,Größter Durchmesser der Läsion in Millimetern.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698209+00:00,cfaf42ae-2697-435b-8a01-877311e7844c,,endoscopy_room_entry_time_value,unknown,unknown,"Uhrzeitgenauer Zeitpunkt, zu dem die untersuchte Person den Untersuchungsraum betritt.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698254+00:00,109da8db-ff68-4b00-9e6b-86901f70a9f8,,endoscope_insertion_time_value,unknown,unknown,"Uhrzeitgenauer Beginn der Endoskopie, definiert als Zeitpunkt des Einführens des Endoskops.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698284+00:00,52ab5546-4804-47d9-b55a-44c7aab402e1,,colonoscopy_withdrawal_start_time_value,unknown,unknown,"Uhrzeitgenauer Beginn des Rückzuges des Endoskops; bei vollständiger Koloskopie vom Zökalpol, bei inkompletter Koloskopie von der maximal erreichten Einführtiefe.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698310+00:00,44dc39c5-33e4-4338-a777-e470e1a05f69,,endoscope_removal_time_value,unknown,unknown,"Uhrzeitgenaues Ende der Endoskopie, definiert als Zeitpunkt des Entfernens des Endoskops.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698334+00:00,468d2077-ce68-47f6-90ce-2d52480df31a,,endoscopy_room_exit_time_value,unknown,unknown,"Uhrzeitgenauer Zeitpunkt, zu dem die untersuchte Person den Untersuchungsraum verlässt.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.698358+00:00,419f6d0e-b6f7-4182-91e1-d5a81053d2ac,,endoscopy_department_exit_time_value,unknown,unknown,"Uhrzeitgenauer Zeitpunkt, zu dem die untersuchte Person die Endoskopieabteilung beziehungsweise den Aufwachraum verlässt.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703764+00:00,089eef4e-d85c-4679-93f9-f719db94e4da,,endoscopy_risk_assessment_time_value,unknown,unknown,Uhrzeitgenauer Zeitpunkt des standardisierten Risikoassessments vor dem endoskopischen Eingriff.,lx_descriptors
128,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703812+00:00,e991869b-acce-4015-82bb-ef49ee22a72b,,risk_assessment_protocol_version_value,unknown,unknown,Bezeichnung und Version der für das standardisierte Risikoassessment verwendeten Checkliste oder Verfahrensanweisung.,lx_descriptors
