created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,classification_choices,classification_types
2026-09-04 06:36:56.524533+00:00,5858521d-8703-4541-be4d-5d9a21a14290,,distance_cm,unknown,unknown,unknown,star_upper_gi,distance_cm,
2026-09-04 06:36:56.524586+00:00,9c2e050d-0118-4aaa-8c68-2f70c214607b,,size_oval_mm,unknown,unknown,Classification of size in millimeters.,star_upper_gi,size_mm,
2026-09-04 06:36:56.524610+00:00,cdf9c292-52c6-4b26-ba00-31c9991fdb87,,additional_text_info,unknown,unknown,unknown,star_upper_gi,additional_text_info,
2026-09-04 06:36:56.524634+00:00,905de55e-29c5-4296-accb-c69182f823a0,,star_upper_gi_location_classification,unknown,unknown,Classification of locations visualized during upper GI endoscopy.,star_upper_gi,"star_upper_gi_location_esophagus_proximal,star_upper_gi_location_esophagus_distal,star_upper_gi_location_z_line,star_upper_gi_location_gastroesophageal_junction,star_upper_gi_location_hiatus,star_upper_gi_location_stomach_fundus,star_upper_gi_location_stomach_corpus,star_upper_gi_location_stomach_antrum,star_upper_gi_location_stomach_incisura,star_upper_gi_location_stomach_cardia,star_upper_gi_location_stomach_pylorus,star_upper_gi_location_duodenum_bulbus,star_upper_gi_location_duodenum_descending_part,star_upper_gi_location_papilla_major,star_upper_gi_location_papilla_minor",
2026-09-04 06:36:56.524656+00:00,57ae2461-8d68-47ff-ab77-05a339d5e741,,star_upper_gi_location_duodenum,unknown,unknown,Classification of duodenal locations visualized during upper GI endoscopy.,star_upper_gi,"star_upper_gi_location_duodenum_bulbus,star_upper_gi_location_duodenum_descending_part,star_upper_gi_location_papilla_major,star_upper_gi_location_papilla_minor",
2026-09-04 06:36:56.524675+00:00,6055f121-618a-4a43-b26f-97bb7cd6de05,,star_upper_gi_mucosal_appearance_classification,unknown,unknown,Classification of mucosal appearance observed during upper GI endoscopy.,star_upper_gi,"star_upper_gi_mucosal_appearance_normal,star_upper_gi_mucosal_appearance_inflammation,star_upper_gi_mucosal_appearance_erosion,star_upper_gi_mucosal_appearance_ulcer,star_upper_gi_mucosal_appearance_bleeding,star_upper_gi_mucosal_appearance_atrophy,star_upper_gi_mucosal_appearance_metaplasia,star_upper_gi_mucosal_appearance_dysplasia",
2026-09-04 06:36:56.524694+00:00,cde37f0e-9527-4156-9465-c92d65bd124e,,yes_no_unknown_classification,unknown,unknown,A simple yes/no/unknown classification.,star_upper_gi,"yes,no,unknown",
2026-09-04 06:36:56.524715+00:00,1ba55355-a60d-460c-8f23-46acad880246,,star_upper_gi_lesion_paris,unknown,unknown,unknown,star_upper_gi,"star_upper_gi_paris_Is,star_upper_gi_paris_Ip,star_upper_gi_paris_Isp,star_upper_gi_paris_IIa,star_upper_gi_paris_IIb,star_upper_gi_paris_IIc,star_upper_gi_paris_III,star_upper_gi_paris_IIa_IIc,star_upper_gi_paris_IIc_IIa,star_upper_gi_paris_IIb_IIc",
2026-09-04 06:36:56.524736+00:00,a7b69a66-2634-49a1-90eb-c899184ac9a9,,star_upper_gi_forrest,unknown,unknown,unknown,star_upper_gi,"star_upper_gi_forrest_Ia,star_upper_gi_forrest_Ib,star_upper_gi_forrest_IIa,star_upper_gi_forrest_IIb,star_upper_gi_forrest_IIc,star_upper_gi_forrest_III",
2026-09-04 06:36:56.524756+00:00,5cbbf8ae-77ef-446c-9864-bed079bc2b26,,star_upper_gi_count,unknown,unknown,"Non-negative count used for varices, biopsies, vials, and images.",star_upper_gi,star_upper_gi_count_value,
2026-09-04 06:36:56.524774+00:00,dd6423aa-d427-4bb8-a3d2-df30aa2beb6b,,star_upper_gi_duration_minutes,unknown,unknown,Duration in minutes.,star_upper_gi,star_upper_gi_minutes_value,
2026-09-04 06:36:56.538503+00:00,57d10510-e40e-4d96-a05e-ce1f2f519b86,,star_upper_gi_location_esophagus_distance_z_line,unknown,unknown,"Classification of distance from Z-line in the esophagus during upper GI endoscopy.
Distances proximal to the Z-line are negative, distances distal to the Z-line are positive.",star_upper_gi,distance_cm,
2026-09-04 06:36:56.538567+00:00,f2548a51-5275-4cbf-8f04-c11ce362c1cf,,upper_gi_esophagus_imaging_modality_classification,unknown,unknown,Classification of imaging modalities used for esophagus during upper GI endoscopy.,star_upper_gi,"star_upper_gi_imaging_modality_white_light,star_upper_gi_imaging_modality_narrow_band_imaging,star_upper_gi_imaging_modality_chromoendoscopy,star_upper_gi_imaging_modality_acidic_staining",
2026-09-04 06:36:56.538591+00:00,0c0fa971-2be4-42d0-85e3-4ebf6e326d04,,star_upper_gi_barrett_praque_classification,unknown,unknown,Classification of Barrett's esophagus praque types observed during upper GI endoscopy.,star_upper_gi,"star_upper_gi_barrett_praque_c_value,star_upper_gi_barrett_praque_m_value",
