created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,finding_types,classifications,interventions,caused_by_interventions
2026-09-04 06:36:56.511819+00:00,6e8a1542-fc27-4ef9-89c0-5a213775ed51,,star_upper_gi_polyp,unknown,unknown,"Polyp or suspected superficial lesion documented by location, size, and Paris morphology.",star_upper_gi,,"star_upper_gi_location_classification,star_upper_gi_location_esophagus_distance_z_line,star_upper_gi_lesion_paris,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.511880+00:00,539aaf15-108f-4b8c-8c97-db68681b07ec,,star_upper_gi_ulcer,unknown,unknown,"Gastric or duodenal ulcer documented by location, size, and Forrest bleeding stigmata.",star_upper_gi,,"star_upper_gi_forrest,star_upper_gi_location_classification,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.511908+00:00,78defa14-d73f-41ba-8806-bf6d1f64d6d1,,star_upper_gi_submucosal_abnormality,unknown,unknown,An abnormality arising in or presenting from the submucosal layer.,star_upper_gi,,"star_upper_gi_location_classification,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.511940+00:00,6b9c8a75-7957-4ff8-a52c-da487fdeaa08,,star_upper_gi_esophagus_ectopic_mucosa,unknown,unknown,"Proximal ectopic esophageal mucosa (inlet patch), including distance from incisors and size.",star_upper_gi,,"distance_cm,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.511962+00:00,01c40533-2f5d-43a3-94f4-e753d7b46860,,star_upper_gi_esophagus_diverticulum,unknown,unknown,"Esophageal diverticulum, including distance from incisors and estimated size.",star_upper_gi,,"distance_cm,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.511985+00:00,265cec87-501d-44be-b9b9-0d88c9b229aa,,star_upper_gi_esophagus_barretts,unknown,unknown,Suspected or known Barrett's esophagus with Prague C and M extents and enhanced-imaging details.,star_upper_gi,,"star_upper_gi_barrett_praque_classification,upper_gi_esophagus_imaging_modality_classification,yes_no_unknown_classification,additional_text_info",,
2026-09-04 06:36:56.512005+00:00,cfc94b62-30bb-4dee-9aa4-6a90d4c88b5b,,star_upper_gi_esophagus_varices,unknown,unknown,Esophageal varices documented by count and Baveno small/large category.,star_upper_gi,,"star_upper_gi_esophagus_varices_baveno,star_upper_gi_count,additional_text_info",,
2026-09-04 06:36:56.512023+00:00,a0453f77-6929-4bb4-8649-68971f27f358,,star_upper_gi_esophagitis,unknown,unknown,Reflux esophagitis graded according to the Los Angeles classification.,star_upper_gi,,"star_upper_gi_los_angeles_classification,additional_text_info",,
2026-09-04 06:36:56.512042+00:00,53f91523-4412-4315-a050-057af49e13c2,,star_upper_gi_esophagitis_eosinophilic,unknown,unknown,Suspected eosinophilic esophagitis documented with all five EREFS components.,star_upper_gi,,"star_upper_gi_erefs_edema,star_upper_gi_erefs_rings,star_upper_gi_erefs_exudates,star_upper_gi_erefs_furrows,star_upper_gi_erefs_strictures,additional_text_info",,
2026-09-04 06:36:56.512061+00:00,e86d4ff9-e88b-49ed-93ab-580bdbe27291,,star_upper_gi_esophagitis_caustic,unknown,unknown,Caustic esophageal injury graded according to the Zargar classification.,star_upper_gi,,"star_upper_gi_zargar,additional_text_info",,
