created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,abbreviation,unit_types
2026-09-04 06:36:56.513576+00:00,824076a0-caab-4e4b-a43c-6b7a43010d52,,star_upper_gi_count,Anzahl,Count,"Dimensionless integer count used for varices, biopsies, vials, and images.",star_upper_gi,count,
2026-09-04 06:36:56.513618+00:00,5e467faf-bf33-46e4-a2f6-422f5f73be3f,,star_upper_gi_score,Punktwert,Score,Dimensionless score point used for STAR upper-GI cleanliness scale totals.,star_upper_gi,score,
2026-09-04 06:36:56.667136+00:00,b4bda718-c40f-4f45-a037-81baeb70ed14,,milligram,Milligramm,Milligram,Mass unit used for medication doses.,lx_units,mg,
2026-09-04 06:36:56.667176+00:00,6f5503b8-7ef4-446d-ad96-f43c21c5447d,,milliliter_per_hour,Milliliter pro Stunde,Millilitres per hour,Volumetric flow-rate unit used for medication infusions.,lx_units,ml/h,
2026-09-04 06:36:56.674876+00:00,746b5fe8-13fd-4a6a-a856-92874100b2c8,,picogram per mililiter,Pikogramm pro Mililiter,picogram per mililiter,unknown,lx_units,pg/ml,
2026-09-04 06:36:56.674920+00:00,a19aa97a-e5a1-4396-acba-9160e1c3160a,,gram per liter,Gramm pro Liter,gram per liter,unknown,lx_units,g/L,
2026-09-04 06:36:56.674950+00:00,3c1083ac-15da-4268-ab98-8988188b7eec,,micromole per liter,Mikromol pro Liter,micromole per liter,unknown,lx_units,µmol/L,
2026-09-04 06:36:56.674970+00:00,bba288c3-815f-4216-b8b1-bef08b3c02dc,,nanogram per mililiter,Nanogramm pro Mililiter,nanogram per mililiter,unknown,lx_units,ng/ml,
2026-09-04 06:36:56.674988+00:00,be9eef21-78e9-41c4-916b-784749214cf6,,nanogram per deciliter,Nanogramm pro Deziliter,nanogram per deciliter,unknown,lx_units,nanogram p,
2026-09-04 06:36:56.675019+00:00,aa59202b-a62d-4cf1-9c6e-5e5bf6f7b422,,microgram per mililiter,Microgramm pro Mililiter,microgram per mililiter,unknown,lx_units,µg/ml,
2026-09-04 06:36:56.675037+00:00,55622c8b-d783-49da-83fc-0a720988aa90,,microgram per deciliter,Mikrogramm pro Deziliter,microgram per deciliter,"Micrograms per deciliter, a unit of measurement for concentration.",lx_units,µg/dL,
2026-09-04 06:36:56.675055+00:00,cec8f26c-7600-481f-bb8f-499f6c4fe748,,gram per deciliter,Gramm pro Deziliter,gram per deciliter,unknown,lx_units,gram per d,
2026-09-04 06:36:56.675074+00:00,90f26728-0fc5-48f5-863c-f03ab6c326a7,,milimole per liter,milimol pro Liter,milimole per liter,"milimoles per liter, a unit of measurement for concentration in blood.",lx_units,mmol/L,
2026-09-04 06:36:56.675092+00:00,add36fe1-bd62-4aaf-8818-eab6baaabc97,,miliequivalent per liter,miliäquivalent pro Liter,miliequivalent per liter,"miliequivalents per liter, used for electrolytes concentration.",lx_units,mEq/L,
2026-09-04 06:36:56.675110+00:00,1bbfe281-5b93-4111-8e53-0a6fd03b650d,,miligram per deciliter,miligramm pro Deziliter,miligram per deciliter,"miligrams per deciliter, commonly used for various blood measurements.",lx_units,mg/dL,
