created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,classification_choices,classification_types
2026-01-20 12:47:52.104413+00:00,7334d50e-f699-4101-bee7-acda02be4609,,distance_cm,unknown,unknown,unknown,star_upper_gi,distance_cm,
2026-01-20 12:47:52.104454+00:00,a510e852-c75c-4a45-a71b-f275c0bef762,,star_upper_gi_location_esophagus_distance_z_line,unknown,unknown,"Classification of distance from Z-line in the esophagus during upper GI endoscopy.
Distances proximal to the Z-line are negative, distances distal to the Z-line are positive.",star_upper_gi,distance_cm,
2026-01-20 12:47:52.104480+00:00,03f42e12-a5a3-44fa-bf08-791f7d071853,,size_oval_mm,unknown,unknown,Classification of size in millimeters.,star_upper_gi,size_mm,
2026-01-20 12:47:52.104503+00:00,faa0fb77-4b59-44d3-a33e-578c0073c750,,additional_text_info,unknown,unknown,unknown,star_upper_gi,additional_text_info,
2026-01-20 12:47:52.104528+00:00,5f76005a-c303-45ee-900f-38618c7e043d,,upper_gi_esophagus_imaging_modality_classification,unknown,unknown,Classification of imaging modalities used for esophagus during upper GI endoscopy.,star_upper_gi,"star_upper_gi_imaging_modality_white_light,star_upper_gi_imaging_modality_narrow_band_imaging,star_upper_gi_imaging_modality_chromoendoscopy,star_upper_gi_imaging_modality_acidic_staining",
2026-01-20 12:47:52.104553+00:00,fcc96753-fa60-4ed2-b68c-aa2394184940,,star_upper_gi_location_classification,unknown,unknown,Classification of locations visualized during upper GI endoscopy.,star_upper_gi,"star_upper_gi_location_esophagus_proximal,star_upper_gi_location_esophagus_distal,star_upper_gi_location_z_line,star_upper_gi_location_gastroesophageal_junction,star_upper_gi_location_stomach_fundus,star_upper_gi_location_stomach_corpus,star_upper_gi_location_stomach_antrum,star_upper_gi_location_stomach_cardia,star_upper_gi_location_stomach_pylorus,star_upper_gi_location_duodenum_bulbus,star_upper_gi_location_duodenum_descending_part,star_upper_gi_location_papilla_major,star_upper_gi_location_papilla_minor",
2026-01-20 12:47:52.104576+00:00,a4dd9e8c-7574-41cc-b561-bc8dc3bc2f94,,star_upper_gi_location_duodenum,unknown,unknown,Classification of duodenal locations visualized during upper GI endoscopy.,star_upper_gi,"star_upper_gi_location_duodenum_bulbus,star_upper_gi_location_duodenum_descending_part,star_upper_gi_location_papilla_major,star_upper_gi_location_papilla_minor",
2026-01-20 12:47:52.104599+00:00,c04216a9-eade-40e5-ac5b-471bab53d3de,,star_upper_gi_mucosal_appearance_classification,unknown,unknown,Classification of mucosal appearance observed during upper GI endoscopy.,star_upper_gi,"star_upper_gi_mucosal_appearance_normal,star_upper_gi_mucosal_appearance_inflammation,star_upper_gi_mucosal_appearance_erosion,star_upper_gi_mucosal_appearance_ulcer,star_upper_gi_mucosal_appearance_bleeding,star_upper_gi_mucosal_appearance_atrophy,star_upper_gi_mucosal_appearance_metaplasia,star_upper_gi_mucosal_appearance_dysplasia",
2026-01-20 12:47:52.104621+00:00,6f915e02-5fbf-4d9f-83ed-321a1e9c0afe,,yes_no_unknown_classification,unknown,unknown,A simple yes/no/unknown classification.,star_upper_gi,"yes,no,unknown",
2026-01-20 12:47:52.104643+00:00,a5784d2f-c0f4-4d04-aa43-a25f268a16c5,,star_upper_gi_lesion_paris,unknown,unknown,unknown,star_upper_gi,"star_upper_gi_paris_Is,star_upper_gi_paris_Ip,star_upper_gi_paris_IIa,star_upper_gi_paris_IIb,star_upper_gi_paris_IIc,star_upper_gi_paris_III,star_upper_gi_paris_IIa_IIc,star_upper_gi_paris_IIb_IIc",
2026-01-20 12:47:52.104666+00:00,759a074e-782d-49e1-bc0c-a162ed5d3e3d,,star_upper_gi_forrest,unknown,unknown,unknown,star_upper_gi,"star_upper_gi_forrest_Ia,star_upper_gi_forrest_Ib,star_upper_gi_forrest_IIa,star_upper_gi_forrest_IIb,star_upper_gi_forrest_IIc,star_upper_gi_forrest_III",
