created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,abbreviation,unit_types
2026-01-20 12:47:52.142014+00:00,edc2edb7-f14e-480d-a399-69fe1cd91876,,picogram per mililiter,Pikogramm pro Mililiter,picogram per mililiter,unknown,lx_units,pg/ml,
2026-01-20 12:47:52.142063+00:00,c825f5c7-c751-4bc5-b296-155adfe8180a,,gram per liter,Gramm pro Liter,gram per liter,unknown,lx_units,g/L,
2026-01-20 12:47:52.142087+00:00,fda8e97d-5b3e-4f30-9510-eba81205b387,,micromole per liter,Mikromol pro Liter,micromole per liter,unknown,lx_units,µmol/L,
2026-01-20 12:47:52.142107+00:00,4c0ede40-8d48-4b13-b893-a43b921f56c6,,nanogram per mililiter,Nanogramm pro Mililiter,nanogram per mililiter,unknown,lx_units,ng/ml,
2026-01-20 12:47:52.142127+00:00,10aa44b0-2273-4211-b282-42dad9e6b967,,nanogram per deciliter,Nanogramm pro Deziliter,nanogram per deciliter,unknown,lx_units,nanogram p,
2026-01-20 12:47:52.142164+00:00,96ddfc7b-7790-4242-a287-040547eb2847,,microgram per mililiter,Microgramm pro Mililiter,microgram per mililiter,unknown,lx_units,µg/ml,
2026-01-20 12:47:52.142184+00:00,89a56150-e7db-4193-b73a-7a360e9a0d20,,microgram per deciliter,Mikrogramm pro Deziliter,microgram per deciliter,"Micrograms per deciliter, a unit of measurement for concentration.",lx_units,µg/dL,
2026-01-20 12:47:52.142203+00:00,8eb864f7-ec51-483b-9a4b-a952a19bc611,,gram per deciliter,Gramm pro Deziliter,gram per deciliter,unknown,lx_units,gram per d,
2026-01-20 12:47:52.142223+00:00,492b0338-1683-47fa-b396-bbfdec37c42e,,milimole per liter,milimol pro Liter,milimole per liter,"milimoles per liter, a unit of measurement for concentration in blood.",lx_units,mmol/L,
2026-01-20 12:47:52.142241+00:00,7521b5f3-c6fa-40f3-9e39-07fc5fe210f7,,miliequivalent per liter,miliäquivalent pro Liter,miliequivalent per liter,"miliequivalents per liter, used for electrolytes concentration.",lx_units,mEq/L,
2026-01-20 12:47:52.142259+00:00,7e6943b1-9a0c-4f4c-90ff-9393eec81375,,miligram per deciliter,miligramm pro Deziliter,miligram per deciliter,"miligrams per deciliter, commonly used for various blood measurements.",lx_units,mg/dL,
2026-01-20 12:47:52.142278+00:00,cf571605-9e7e-4a12-9eba-857a0553a146,,miligram per liter,miligramm pro Liter,miligram per liter,"miligrams per liter, a unit of measurement for concentration in blood.",lx_units,mg/L,
2026-01-20 12:47:52.142295+00:00,4ece8c40-13fa-4569-a075-bebcd3101d1f,,x 10^9 per liter,x 10^9 pro Liter,x 10^9 per liter,"Number of cells per liter, often used for blood cell counts.",lx_units,x 10^9/L,
2026-01-20 12:47:52.142313+00:00,3c7aec2a-6e09-4468-8349-d8b11bff5696,,units per liter,units pro Liter,units per liter,unknown,lx_units,U/l,
2026-01-20 12:47:52.142331+00:00,dd613f68-c546-4200-844a-73d922b76682,,microinternational units per mililiter,Mikro-Internationale Einheiten pro Mililiter,micro-international units per mililiter,unknown,lx_units,µU/ml,
2026-01-20 12:47:52.143976+00:00,1d5c87d5-ce01-4b17-b485-e3ec2651fdf9,,liters-per-minute,Liter pro Minute,Liters per Minute,liters per minute,lx_units,l/min,
2026-01-20 12:47:52.144004+00:00,67bc597d-7ef6-457e-9370-54944068d738,,kilowatt-hours,Kilowattstunden,Kilowatt-hours,kilowatt-hours,lx_units,kWh,
2026-01-20 12:47:52.146780+00:00,ae632a79-bc99-4dcd-9ffe-e9c2874e4072,,milimeter,milimeter,milimeter,milimeters,lx_units,mm,
2026-01-20 12:47:52.146808+00:00,6da78566-e430-4cc5-8672-d5c41508834c,,centimeter,Zentimeter,Centimeter,centimeters,lx_units,cm,
2026-01-20 12:47:52.146828+00:00,e61e3cb0-8c7c-4a97-a16c-d5ec35be3885,,meter,Meter,Meter,meters,lx_units,m,
2026-01-20 12:47:52.146849+00:00,941bc374-80b9-4a45-b4a7-c3bf90490dae,,kilometer,Kilometer,Kilometer,kilometers,lx_units,km,
2026-01-20 12:47:52.148676+00:00,b33fd012-23fe-45cf-a5e5-54150fcae5cb,,percent,Prozent,percent,unknown,lx_units,%,
2026-01-20 12:47:52.148702+00:00,0ff0ee95-a647-451e-8ef9-219fab6ef2bd,,ratio,Ratio,ratio,unknown,lx_units,ratio,
2026-01-20 12:47:52.148724+00:00,6a0dbcdc-720f-4404-a65a-fa7bcd39e000,,dose,Dosierung(en),dose(s),unknown,lx_units,dose,
2026-01-20 12:47:52.149484+00:00,138eb4bf-fab3-444d-aee1-2a2ea1deff1a,,mililiter per minute per 1.73m^2,ml/min/1.73m²,ml/min/1.73m²,unknown,lx_units,ml/min/1.73m²,
2026-01-20 12:47:52.153423+00:00,9252e6a4-ec08-4700-b48e-2bf842caf6d4,,seconds,Sekunden,Sekunden,unknown,lx_units,s,
2026-01-20 12:47:52.153452+00:00,2544950c-e335-40d3-9c72-31b83edeefe4,,minutes,Minuten,Minutes,unknown,lx_units,min,
2026-01-20 12:47:52.153474+00:00,217314f1-ab4f-4d23-ac5e-db638ace313e,,hours,Stunden,Hours,unknown,lx_units,h,
2026-01-20 12:47:52.153493+00:00,05f66e45-63f7-4afe-aa4b-e6738e8ecf53,,days,Tage,Days,unknown,lx_units,d,
2026-01-20 12:47:52.153514+00:00,a35ff974-b272-4044-9533-22b8f502eb79,,weeks,Wochen,Weeks,unknown,lx_units,w,
2026-01-20 12:47:52.153532+00:00,bee2fc64-0f56-47b6-9fad-e13d85269296,,months,Monate,Months,unknown,lx_units,mo,
